"ID","NAME","TYPE","TENANTID","KIND","LOCATION","RESOURCEGROUP","SUBSCRIPTIONID","MANAGEDBY","SKU","PLAN","PROPERTIES","TAGS","IDENTITY","ZONES","EXTENDEDLOCATION"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-0a53b993-d595-4c34-a5de-d97fdefedb82","datacluster-f8mdw-dynamic-pvc-0a53b993-d595-4c34-a5de-d97fdefedb82","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":1,""timeCreated"":""2024-03-12T14:39:07.894Z"",""diskSizeBytes"":1073741824,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2024-03-12T14:59:27.432Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""d3bfc248-b533-4435-9d59-c52ee8184e5b"",""tier"":""P1""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""mongodb-test"",""kubernetes.io-created-for-pvc-name"":""journal-oren-rs-1"",""kubernetes.io-created-for-pv-name"":""pvc-0a53b993-d595-4c34-a5de-d97fdefedb82"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2024-03-12"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""2""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-108f8bb5-da23-45f0-ae28-4ebe64494d2c","datacluster-f8mdw-dynamic-pvc-108f8bb5-da23-45f0-ae28-4ebe64494d2c","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":4,""timeCreated"":""2023-08-31T07:44:00.209Z"",""diskSizeBytes"":4294967296,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-09-11T11:40:36.314Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""515967b7-9d13-4188-afa1-3bac8f692b8f"",""tier"":""P1""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""vlad-dev"",""kubernetes.io-created-for-pvc-name"":""content-repository-simple-nifi-node-default-0"",""kubernetes.io-created-for-pv-name"":""pvc-108f8bb5-da23-45f0-ae28-4ebe64494d2c"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2023-08-31"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""3""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-150fbb97-7164-48a8-95a3-b7d1aa65f27b","datacluster-f8mdw-dynamic-pvc-150fbb97-7164-48a8-95a3-b7d1aa65f27b","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":500,""timeCreated"":""2023-06-29T13:11:16.438Z"",""diskSizeBytes"":536870912000,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-06-29T13:40:38.678Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":150,""diskIOPSReadWrite"":2300,""uniqueId"":""4754de53-4d2a-4061-bb4b-91ef198faa3c"",""tier"":""P20""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""default"",""kubernetes.io-created-for-pvc-name"":""data-strimzi-ephemeral-kafka-1"",""kubernetes.io-created-for-pv-name"":""pvc-150fbb97-7164-48a8-95a3-b7d1aa65f27b"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_by"":""207209420@idf.il"",""created_on_date"":""2023-06-29"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""1""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-16e0c767-92fa-4b75-8ea0-a452606b2d84","datacluster-f8mdw-dynamic-pvc-16e0c767-92fa-4b75-8ea0-a452606b2d84","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":15,""timeCreated"":""2024-03-04T13:13:35.966Z"",""diskSizeBytes"":16106127360,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2024-03-04T14:58:04.385Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""8594a850-9743-43b7-b758-96ef5091cb31"",""tier"":""P3""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""mongodb-test"",""kubernetes.io-created-for-pvc-name"":""data-rs-oren-1"",""kubernetes.io-created-for-pv-name"":""pvc-16e0c767-92fa-4b75-8ea0-a452606b2d84"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2024-03-04"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""2""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-16fdce6d-3603-42b8-891d-fd503f3589c5","datacluster-f8mdw-dynamic-pvc-16fdce6d-3603-42b8-891d-fd503f3589c5","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":1,""timeCreated"":""2023-08-31T07:44:00.287Z"",""diskSizeBytes"":1073741824,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-09-11T11:39:52.064Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""37356eda-3759-4dc7-af4e-98657e96bcc1"",""tier"":""P1""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""vlad-dev"",""kubernetes.io-created-for-pvc-name"":""flowfile-repository-simple-nifi-node-default-1"",""kubernetes.io-created-for-pv-name"":""pvc-16fdce6d-3603-42b8-891d-fd503f3589c5"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2023-08-31"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""2""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-1849d28a-f514-4b69-b959-de00414718a4","datacluster-f8mdw-dynamic-pvc-1849d28a-f514-4b69-b959-de00414718a4","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":500,""timeCreated"":""2023-06-29T13:11:16.454Z"",""diskSizeBytes"":536870912000,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-06-29T13:40:35.506Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":150,""diskIOPSReadWrite"":2300,""uniqueId"":""fa001641-38b2-4ce3-b9c3-df507386f066"",""tier"":""P20""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""default"",""kubernetes.io-created-for-pvc-name"":""data-strimzi-ephemeral-kafka-0"",""kubernetes.io-created-for-pv-name"":""pvc-1849d28a-f514-4b69-b959-de00414718a4"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_by"":""207209420@idf.il"",""created_on_date"":""2023-06-29"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""2""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-23dd607b-e72d-40a2-beb2-b754733fb4a4","datacluster-f8mdw-dynamic-pvc-23dd607b-e72d-40a2-beb2-b754733fb4a4","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":2,""timeCreated"":""2023-10-10T12:36:11.369Z"",""diskSizeBytes"":2147483648,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-10-10T12:38:47.383Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""bae5b2cd-c296-46fd-ab00-80027aa7d8fa"",""tier"":""P1""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""kafka-infra-operator-strimzi"",""kubernetes.io-created-for-pvc-name"":""data-clinet-test-zookeeper-1"",""kubernetes.io-created-for-pv-name"":""pvc-23dd607b-e72d-40a2-beb2-b754733fb4a4"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2023-10-10"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""1""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-23f091ab-0e3e-4ee4-93e2-2222173304c8","datacluster-f8mdw-dynamic-pvc-23f091ab-0e3e-4ee4-93e2-2222173304c8","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":100,""timeCreated"":""2023-10-16T09:47:49.825Z"",""diskSizeBytes"":107374182400,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-10-17T21:57:47.371Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":100,""diskIOPSReadWrite"":500,""uniqueId"":""09b6e12a-5b5f-423d-879b-0c70ca51eb8e"",""tier"":""P10""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""airflow-shir"",""kubernetes.io-created-for-pvc-name"":""logs-airflow2-worker-0"",""kubernetes.io-created-for-pv-name"":""pvc-23f091ab-0e3e-4ee4-93e2-2222173304c8"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2023-10-16"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""3""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-2b0530db-50df-4197-9031-219034c9c885","datacluster-f8mdw-dynamic-pvc-2b0530db-50df-4197-9031-219034c9c885","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""timeCreated"":""2023-08-31T07:44:00.131Z"",""diskSizeGB"":1,""diskSizeBytes"":1073741824,""creationData"":{""createOption"":""Empty""},""diskState"":""Unattached"",""LastOwnershipUpdateTime"":""2023-09-11T11:40:54.954Z"",""uniqueId"":""264b6488-a237-409d-ba38-dccc887f52d6"",""diskIOPSReadWrite"":120,""diskMBpsReadWrite"":25,""tier"":""P1""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""vlad-dev"",""kubernetes.io-created-for-pvc-name"":""database-repository-simple-nifi-node-default-0"",""kubernetes.io-created-for-pv-name"":""pvc-2b0530db-50df-4197-9031-219034c9c885"",""application"":""none"",""department"":""turkiz"",""cost_center"":""evasterias"",""created_on_date"":""2023-08-31"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""3""]","null"
"/subscriptions/156ff441-7bb5-41c1-a8da-67022c55bfa2/resourceGroups/ARO-INFRA-LHYMEV9A-DATACLUSTER/providers/Microsoft.Compute/disks/datacluster-f8mdw-dynamic-pvc-2ff138f1-4f56-42a4-930e-c6ae14c12e1f","datacluster-f8mdw-dynamic-pvc-2ff138f1-4f56-42a4-930e-c6ae14c12e1f","microsoft.compute/disks","78820852-55fa-450b-908d-45c0d911e76b","","westeurope","aro-infra-lhymev9a-datacluster","156ff441-7bb5-41c1-a8da-67022c55bfa2","","{""name"":""Premium_LRS"",""tier"":""Premium""}","null","{""provisioningState"":""Succeeded"",""publicNetworkAccess"":""Enabled"",""networkAccessPolicy"":""AllowAll"",""encryption"":{""type"":""EncryptionAtRestWithPlatformKey""},""diskSizeGB"":8,""timeCreated"":""2023-10-16T12:29:55.614Z"",""diskSizeBytes"":8589934592,""creationData"":{""createOption"":""Empty""},""LastOwnershipUpdateTime"":""2023-10-22T02:18:52.565Z"",""diskState"":""Unattached"",""diskMBpsReadWrite"":25,""diskIOPSReadWrite"":120,""uniqueId"":""3e7444e8-89fa-41a4-8da7-56f39c02fbf0"",""tier"":""P2""}","{""environment"":""prd"",""kubernetes.io-created-for-pvc-namespace"":""ranger-test"",""kubernetes.io-created-for-pvc-name"":""data-postgres-postgresql-0"",""kubernetes.io-created-for-pv-name"":""pvc-2ff138f1-4f56-42a4-930e-c6ae14c12e1f"",""application"":""none"",""cost_center"":""evasterias"",""department"":""turkiz"",""created_on_date"":""2023-10-16"",""CandidateDeletion"":""DeleteOver90Days""}","null","[""1""]","null"
